2019-04-06 23:59:54,"b'The 284th Bitcoin mining period has started with block 570,528. \xe2\x9b\x8f New difficulty: 6,393,023,717,201 (+0.22%) #bitcoin #btc $btc'"
2019-04-06 23:59:14,"b'Crypto Coin Minute for April 7th, 2019\nhttps://t.co/jJMeY6hVpa\nhttps://t.co/rEto6Y1TYM\n#bitcoin #litecoin #gbx #gobyte #crypto #ethereum #btc #etht #ltc https://t.co/gXyi3hL8aQ'"
2019-04-06 23:59:14,b'Joined the Digital Games Airdrop. Win 2019 MLB Champions Crypto packs. Limited Edition by @LucidsightInc . #airdrop #bitcoin -- Enter now: https://t.co/wwZeyeob5n via @DGASummit'
2019-04-06 23:59:11,b'[NOT WORKING] Bitmain Antminer D3 Hashboard https://t.co/TMyLKWzWNi #bitcoin #crypto #antminer #bitmain'
2019-04-06 23:59:10,b'Bitmain Antminer D3 19.3G ( New Free Shipping ) https://t.co/UFT1kz2Oc4 #bitcoin #crypto #antminer #bitmain'
2019-04-06 23:59:10,b'[NOT WORKING] Bitmain Antminer D3 Hashboard https://t.co/IHhHRYTK9T #bitcoin #crypto #antminer #bitmain'
2019-04-06 23:59:09,b'Bitmain Antminer Z9 mini in mint condition no psu Free shipping to USA only\xc2\xa0 https://t.co/20YW41Jfe4 #bitcoin #crypto #antminer #bitmain'
2019-04-06 23:59:09,b'Bitmain Antminer D3 Hash Board \xe2\x80\x93 5700 GH/s https://t.co/rHvVQypuJJ #bitcoin #crypto #antminer #bitmain'
2019-04-06 23:58:48,b'US Congress Introduces Two New Cryptocurrency Bills\n\xe2\x9e\xa1\xef\xb8\x8fhttps://t.co/8xngN7oBOi\n\xf0\x9f\x97\xba\xef\xb8\x8f\n\xe2\x96\xb6\xef\xb8\x8fhttps://t.co/vdnO18c8ZC\n#newsoftheweek #Bitcoin #blockchain #crypto https://t.co/75mlQu5KYt'
2019-04-06 23:58:03,"b'Shifting focus, Mystic #tech services company continues growth Mystic\xc2\xa0\xe2\x80\x94 When Sekhar Naik came from Greensboro, N.C., to southeastern Connecticut in 1999 for a three-month project at Pfizer, he didn\xe2\x80\x99t foresee that he would still ... https://t.co/lGGlfvOe6d #bigdata #bitcoin #data'"
